model,MAE,RMSE
Linear Regression - covid,444.5930603943827,581.7697267165433
Random Forest - covid,192.11120980034633,279.35584338640655
Decision Tree - covid,256.47973926520194,378.67732870054965
Gradient Boosting - covid,260.65491760217924,350.12184823261055
KNN - covid,335.83443139757503,485.52231046366677
SVR - covid,1395.2295033975067,1888.0933761191054
Linear Regression - war,444.7404444756734,590.7236250514674
Random Forest - war,203.97422053257728,283.83290632905795
Decision Tree - war,274.70044874560807,399.26312371546845
Gradient Boosting - war,267.9687962368027,356.35632143913415
KNN - war,353.575458053381,503.62923022676847
SVR - war,1359.6130394209235,1834.1380461288093
